molecule_chembl_id,IC50,units,smiles,pIC50,ro5_fulfilled,ROMol
CHEMBL3938750,1984.8,nM,CN(C)C(=O)c1cc(-c2cc(NC3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)cs1,5.702283248735848,True,<rdkit.Chem.rdchem.Mol object at 0x12e724ba0>
CHEMBL1230165,2000.0,nM,O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12,5.698970004336019,True,<rdkit.Chem.rdchem.Mol object at 0x12e724c10>
CHEMBL3945278,2019.3,nM,CC(C)(C)OC(=O)N1CCN(C(=O)c2cccc(Nc3cc(Nc4cccc(Cl)c4)nc4c(/C=C5\NC(=O)NC5=O)cnn34)c2)CC1,5.694799154723592,True,<rdkit.Chem.rdchem.Mol object at 0x12e724c80>
CHEMBL3891189,2026.0,nM,N#CC1CC1C(=O)N1CCN(c2cc(NC3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)CC1,5.693360558975739,True,<rdkit.Chem.rdchem.Mol object at 0x12e724cf0>
CHEMBL3969132,2041.0,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(Nc4ccc(F)c(Cl)c4)nc23)N1,5.69015699528393,True,<rdkit.Chem.rdchem.Mol object at 0x12e724d60>
CHEMBL3960545,2044.1,nM,CN1CCN(C(=O)c2ccc(-c3cc(NC4CC4)n4ncc(/C=C5\NC(=O)NC5=O)c4n3)s2)CC1,5.689497861773205,True,<rdkit.Chem.rdchem.Mol object at 0x12e724dd0>
CHEMBL3954025,2046.1,nM,CN1CCCN(c2cc(NC3CC3)n3ncc(/C=C4\SC(=O)NC4=O)c3n2)CC1,5.689073144628306,True,<rdkit.Chem.rdchem.Mol object at 0x12e724e40>
CHEMBL3970764,2078.1,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)nc(NC4CCNCC4)nc23)N1,5.682333557643499,True,<rdkit.Chem.rdchem.Mol object at 0x12e724eb0>
CHEMBL3916675,2084.0,nM,CNc1cc(-c2cccc(CNC(C)=O)c2)nc2c(/C=C3\NC(=O)NC3=O)cnn12,5.681102285372513,True,<rdkit.Chem.rdchem.Mol object at 0x12e724f20>
CHEMBL3948953,2084.0,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(-c4cccnc4)nc23)N1,5.681102285372513,True,<rdkit.Chem.rdchem.Mol object at 0x12e724f90>
CHEMBL3890154,2132.1,nM,CC(C)N(C)C(=O)c1ccc(-c2cc(NC3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)s1,5.671192429837911,True,<rdkit.Chem.rdchem.Mol object at 0x12e701040>
CHEMBL3913352,2168.5,nM,CN1CCN(Cc2cccc(-c3cc(NC4CC4)n4ncc(/C=C5\NC(=O)NC5=O)c4n3)c2)CC1,5.66384057351522,True,<rdkit.Chem.rdchem.Mol object at 0x12e7010b0>
CHEMBL3927967,2168.5,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(-c4cccc(OCCCO)c4)nc23)N1,5.66384057351522,True,<rdkit.Chem.rdchem.Mol object at 0x12e701120>
