molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
CHEMBL3960545,2044.1,nM,CN1CCN(C(=O)c2ccc(-c3cc(NC4CC4)n4ncc(/C=C5\NC(=O)NC5=O)c4n3)s2)CC1,5.689497861773205,492.169207628,9,3,1.5999999999999994,True
CHEMBL3954025,2046.1,nM,CN1CCCN(c2cc(NC3CC3)n3ncc(/C=C4\SC(=O)NC4=O)c3n2)CC1,5.689073144628306,413.163393976,9,2,1.7693999999999994,True
CHEMBL3970764,2078.1,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)nc(NC4CCNCC4)nc23)N1,5.682333557643499,383.1818209120001,9,5,0.04279999999999978,True
CHEMBL3916675,2084.0,nM,CNc1cc(-c2cccc(CNC(C)=O)c2)nc2c(/C=C3\NC(=O)NC3=O)cnn12,5.681102285372513,405.15493746800007,7,4,1.2543999999999997,True
CHEMBL3948953,2084.0,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(-c4cccnc4)nc23)N1,5.681102285372513,361.1287227200001,7,3,1.5458999999999996,True
CHEMBL3890154,2132.1,nM,CC(C)N(C)C(=O)c1ccc(-c2cc(NC3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)s1,5.671192429837911,465.15830859600004,8,3,2.6928,True
CHEMBL3913352,2168.5,nM,CN1CCN(Cc2cccc(-c3cc(NC4CC4)n4ncc(/C=C5\NC(=O)NC5=O)c4n3)c2)CC1,5.66384057351522,472.233522136,8,3,1.8982999999999994,True
CHEMBL3927967,2168.5,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(-c4cccc(OCCCO)c4)nc23)N1,5.66384057351522,434.170253184,8,4,1.9120999999999995,True
CHEMBL3954260,2190.5,nM,O=C1NC(=O)/C(=C/c2cnn3c(NCCN4CCOCC4)cc(Nc4cccc(Cl)c4)nc23)N1,5.659456742485806,482.1581642760001,9,4,2.0506999999999995,True
CHEMBL3917705,2200.2,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(Nc4cccc(F)c4)nc23)N1,5.657537839655754,393.13495097200007,7,4,2.3666,True
CHEMBL3954481,2204.6,nM,CC(C)CN1CCC(Nc2cc(Nc3cccc(Cl)c3)nc3c(/C=C4\NC(=O)NC4=O)cnn23)CC1,5.656670196922393,508.21019984800006,8,4,3.8389000000000006,True
CHEMBL3966714,2214.4,nM,Cc1cc(COc2cccc(-c3cc(NC4CC4)n4ncc(/C=C5\NC(=O)NC5=O)c4n3)c2)no1,5.654743927223336,471.16550215200004,9,3,3.02632,True
CHEMBL3928053,2214.4,nM,CN(C)CCCOc1cccc(-c2cc(NC3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)c1,5.654743927223336,461.21753772400007,8,3,2.4814,True
CHEMBL3932791,2244.9,nM,O=C1NC(=O)/C(=C/c2cnn3c(SCc4ccccc4)cc(Nc4cccc(Cl)c4)nc23)N1,5.648803000057303,476.0822224640001,7,3,4.598900000000002,True
CHEMBL3965468,2334.4,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)nc(Nc4cccc(CN5CCCC5)c4)nc23)N1,5.631824725450624,459.2131210400001,9,4,2.2182999999999993,True
CHEMBL3962682,2382.0,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(-c4csc(C(=O)O)c4)nc23)N1,5.623058242853242,410.07972392799996,8,4,1.9105999999999999,True
CHEMBL3950281,2403.2,nM,CS(=O)(=O)Nc1cccc(-c2cc(NC3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)c1,5.619210084675926,453.1219230880001,8,4,1.5223999999999993,True
CHEMBL3917549,2405.8,nM,NCc1ccc(Nc2nc(NC3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)cc1,5.618740479451152,405.16617084800004,9,5,1.0811999999999995,True
CHEMBL3928659,2407.6,nM,COC(=O)CN1CCC(Nc2cc(Nc3cccc(Cl)c3)nc3c(/C=C4\NC(=O)NC4=O)cnn23)CC1,5.618415665347248,524.1687289600001,10,4,2.3559,True
CHEMBL3896788,2438.0,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)nc(NCC(F)F)nc23)N1,5.612966298717637,364.12077812800004,8,4,0.5558999999999995,True
CHEMBL3978531,2449.1,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CCNCC4)cc(Nc4cccc(Cl)c4)nc23)N1,5.610993481693768,452.1475995920001,8,5,2.4704999999999995,True
CHEMBL3933040,2479.9,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(Nc4cccc(C(F)(F)F)c4)nc23)N1,5.605565831401126,443.13175741200007,7,4,3.2463000000000006,True
CHEMBL2006765,2480.0,nM,CCCNC(=O)c1ccc(Nc2nc(NCC(F)(F)F)c3cc[nH]c3n2)cc1,5.605548319173783,392.1572438880001,5,4,3.815500000000001,True
CHEMBL3974287,2891.0,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(NC(=O)c4cccc(Cl)c4F)nc23)N1,5.538951908329342,455.09089324000007,7,4,2.5286999999999997,True
CHEMBL4795714,3000.0,nM,CCCCCn1cc(-c2ccccc2OCc2ccccc2)nc1N.Cl,5.522878745280337,371.17644013200004,4,1,5.323300000000005,True
CHEMBL4552628,3300.0,nM,Cc1sc(C(=O)N[C@@H]2[C@H](N)CCCC2(F)F)cc1-c1cnn2cc(Cl)cnc12,5.481486060122112,425.08886531600007,6,2,3.664520000000002,True
CHEMBL4632887,3490.0,nM,CNCCN(C)c1ncc(C(N)=O)c(Nc2cccc(C(F)(F)F)c2)n1,5.45717457304082,368.15724388800004,6,3,1.9934999999999996,True
CHEMBL3965648,3668.0,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(N4CCN(C(=O)CC5CC5)CC4)nc23)N1,5.435570673002017,450.21278669200007,8,3,0.9325999999999997,True
CHEMBL3964004,3745.0,nM,N#Cc1cccc(C(=O)Nc2cc(NC3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)c1,5.426548177964515,428.134536372,8,4,1.6078799999999998,True
CHEMBL3911397,3824.0,nM,CC(C)(C)NC(=O)Nc1cc(NC2CC2)n2ncc(/C=C3\NC(=O)NC3=O)c2n1,5.417482116395938,398.181486564,7,5,1.4038999999999997,True
CHEMBL456,4500.0,nM,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,5.346787486224656,302.011264224,3,1,3.6057000000000023,True
CHEMBL3942463,4732.0,nM,Cc1ccccc1-c1cc(F)ccc1CNc1cc(NC2CC2)n2ncc(/C=C3\NC(=O)NC3=O)c2n1,5.324955264044107,497.19755122800007,7,4,4.210520000000002,True
CHEMBL456689,6200.0,nM,COc1cc2[nH]c3ncnc(N4CCN(C(=S)Nc5ccc(S(=O)(=O)Nc6ncccn6)cc5)CC4)c3c2cc1OC,5.207608310501746,605.162742344,10,3,3.238100000000002,True
CHEMBL3907663,6252.0,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(NC(=O)c4cc(F)cc(F)c4F)nc23)N1,5.203981030652851,457.11102196800005,7,4,2.1534999999999997,True
CHEMBL3947286,6687.0,nM,Nc1cc(Nc2cc(Cl)ccc2F)nc2c(/C=C3\CC(=O)NC3=O)cnn12,5.1747686768001,386.069429524,7,3,2.2775,True
CHEMBL4458300,7000.0,nM,O=C(O)c1ccc(Nc2nc(-c3cccc(Br)c3)cs2)cc1,5.154901959985743,373.9724606920001,4,2,5.014400000000002,True
CHEMBL3948806,8709.0,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(NC(=O)c4cnsc4)nc23)N1,5.060031709448664,410.0909573080001,9,4,1.1926999999999996,True
CHEMBL3884319,10000.0,nM,CC1(C)C(=O)N([C@H]2CCc3c(O)cccc32)c2nc(Nc3ccccc3)ncc21,5.0,386.174275944,5,2,4.2375000000000025,True
CHEMBL3966868,10818.0,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(NC(=O)c4ccccc4F)nc23)N1,4.965853022893954,421.12986559200004,7,4,1.8752999999999997,True
CHEMBL3900076,12626.0,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(NC(=O)c4cccc(C(F)(F)F)c4)nc23)N1,4.898734215008665,471.12667203200004,7,4,2.755,True
CHEMBL507249,15000.0,nM,O[C@H]1CC[C@H](c2n[nH]cc2-c2ccnc(NC3CCCC3)n2)CC1,4.823908740944319,327.20591042000007,5,3,3.239700000000002,True
CHEMBL449216,16000.0,nM,NC(=O)c1nnc2ccccc2c1N,4.795880017344075,188.069810876,4,2,0.31089999999999984,True
CHEMBL3975604,17316.0,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(Nc4cccc(-n5cccn5)c4)nc23)N1,4.761552422858881,441.16617084800015,9,4,2.4132,True
CHEMBL3940616,19381.0,nM,O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(NC(=O)c4cccc(F)c4)nc23)N1,4.712623818447401,421.12986559200004,7,4,1.8752999999999997,True
