molecule_chembl_id,IC50,units,smiles,pIC50
CHEMBL461303,650.0,nM,NC(=O)c1cnc(Nc2ccc(N3CCCC3)cc2)nc1NCc1ccccc1,6.187086643357144
CHEMBL388357,660.0,nM,COc1cc(CCNc2ncc(C(N)=O)c(Nc3cccc(C)c3)n2)ccc1O,6.180456064458131
CHEMBL3741667,740.0,nM,C/C(=C\C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N(C)C)C(C)(C)C)c1ccc(OP(=O)(O)O)cc1,6.130768280269024
CHEMBL3740611,870.0,nM,CN(C(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)/C=C/c1ccc(OP(=O)(O)O)cc1)C(C)(C)C)c1ccccc1,6.060480747381382
CHEMBL3739599,1070.0,nM,C/C(=C\C(=O)N[C@H](C(=O)N1CCCC1CCCCc1ccccc1)C(C)(C)C)c1ccc(OP(=O)(O)O)cc1,5.97061622231479
CHEMBL374977,1100.0,nM,Cc1cccc(Nc2nc(NCCc3ccc(O)cc3)ncc2C(=O)NC(C)C)c1,5.958607314841775
CHEMBL3741852,1250.0,nM,CC(C)(C)[C@H](NC(=O)/C=C/c1ccc(OP(=O)(O)O)cc1)C(=O)N1CCC[C@H]1C(=O)Nc1ccccc1,5.903089986991944
CHEMBL3740569,1800.0,nM,CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(N)=O,5.7447274948966935
CHEMBL512894,2000.0,nM,CS(=O)(=O)c1ccccc1CNc1nc(Nc2ccc(N3CCOCC3)cc2)ncc1C(N)=O,5.698970004336019
CHEMBL3740952,2400.0,nM,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(N)=O,5.619788758288394
CHEMBL2204367,2700.0,nM,CC(C)[C@@H](C)NC(=O)c1cc(-c2cc3ccccc3n2C)cc(C(=O)NCCc2ccccn2)n1,5.568636235841012
CHEMBL226928,3000.0,nM,Cc1cccc(Nc2nc(NCCc3cccc(O)c3)ncc2C(N)=O)c1,5.522878745280337
CHEMBL2204366,3200.0,nM,CC(C)[C@@H](C)NC(=O)c1cc(-c2cc3ccccc3s2)cc(C(=O)NCCc2ccccn2)n1,5.494850021680094
CHEMBL3741476,3430.0,nM,C/C(=C\C(=O)N[C@H](C(=O)N1CCCC1/C=C/c1ccccc1)C(C)(C)C)c1ccc(OP(=O)(O)O)cc1,5.464705879957229
CHEMBL3739974,3500.0,nM,NCCCC[C@H](NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(=O)c1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(N)=O,5.455931955649724
CHEMBL3740899,3700.0,nM,NCCCC[C@H](NC(=O)c1cc2cc(OP(=O)(O)O)ccc2[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(N)=O,5.431798275933005
CHEMBL3740037,4000.0,nM,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(N)=O)C(C)(C)C,5.3979400086720375
CHEMBL3741973,4100.0,nM,NCCCC[C@H](NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(=O)Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(N)=O,5.3872161432802645
CHEMBL606152,4100.0,nM,Fc1ccc(Cn2ccc3cnc(Nc4ccc(N5CCOCC5)cc4)nc32)cc1,5.3872161432802645
CHEMBL3741753,4200.0,nM,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(N)=O)C(N)=O,5.376750709602099
CHEMBL3739898,4500.0,nM,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(=O)O)C(N)=O,5.346787486224656
CHEMBL3739902,5200.0,nM,CCCC[C@H](NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(N)=O,5.2839966563652006
CHEMBL520539,5200.0,nM,CC(=O)Nc1ccccc1CNc1nc(Nc2ccc(N3CCOCC3)cc2)ncc1C(N)=O,5.2839966563652006
CHEMBL3740866,5200.0,nM,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(N)=O,5.2839966563652006
CHEMBL3741480,6100.0,nM,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(N)=O,5.214670164989233
CHEMBL3740092,6600.0,nM,NCCCC[C@H](NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(=O)/C=C/c1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(N)=O,5.180456064458131
CHEMBL3740777,8100.0,nM,NCCCC[C@H](NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(=O)CCc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(N)=O,5.09151498112135
CHEMBL227803,8200.0,nM,Cc1cccc(Nc2nc(NCCc3ccc(O)cc3)ncc2C(=O)N(C)C)c1,5.086186147616283
CHEMBL605087,8300.0,nM,c1ccc(CN2CCc3cnc(Nc4ccc(N5CCOCC5)cc4)nc32)cc1,5.080921907623926
CHEMBL3742329,8600.0,nM,NCCCC[C@H](NC(=O)/C=C/c1ccc(OP(=O)(O)O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(N)=O,5.065501548756432
CHEMBL3740842,14900.0,nM,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(N)=O,4.826813731587726
CHEMBL3740751,89600.0,nM,NCCCC[C@H](NC(=O)c1cc2cc(OP(=O)(O)O)ccc2o1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(N)=O,4.047691990337875
