molecule_chembl_id,IC50,units,smiles,pIC50
CHEMBL593171,0.7,nM,NC(=O)c1cnc(Nc2ccc(N3CCOCC3)cc2)nc1NCc1c(F)ccc(F)c1F,9.154901959985743
CHEMBL487451,0.7,nM,NC(=O)c1cnc(Nc2ccc(N3CCOCC3)cc2)nc1NCc1c(F)cc(F)cc1F,9.154901959985743
CHEMBL470963,1.4,nM,NC(=O)c1cnc(Nc2ccc(N3CCOCC3)cc2)nc1NCc1ccccc1F,8.853871964321762
CHEMBL488814,1.6,nM,NC(=O)c1cnc(Nc2ccc(N3CCOCC3)cc2)nc1NCc1cc(F)ccc1F,8.795880017344075
CHEMBL519249,1.8,nM,NC(=O)c1cnc(Nc2ccc(N3CCOCC3)cc2)nc1NCc1cc(F)cc(F)c1F,8.744727494896694
CHEMBL512874,1.8,nM,NC(=O)c1cnc(Nc2ccc(N3CCOCC3)cc2)nc1NCc1cccc(F)c1,8.744727494896694
CHEMBL595058,1.9,nM,NC(=O)CN1CCN(c2ccc(Nc3ncc4ccn(Cc5cc(F)cc(F)c5)c4n3)cc2)CC1,8.721246399047171
CHEMBL529443,2.1,nM,NC(=O)c1cnc(Nc2ccc(N3CCOCC3)cc2)nc1NCc1cccc(F)c1F,8.67778070526608
CHEMBL519410,2.2,nM,NC(=O)c1cnc(Nc2ccc(N3CCOCC3)cc2)nc1NCc1c(F)cccc1F,8.657577319177793
CHEMBL596420,3.2,nM,CN1CCN(c2ccc(Nc3ncc4ccn(Cc5cc(F)cc(F)c5)c4n3)cc2)CC1,8.494850021680094
CHEMBL606350,4.7,nM,CNC(=O)CN1CCN(c2ccc(Nc3ncc4ccn(Cc5cc(F)cc(F)c5)c4n3)cc2)CC1,8.327902142064282
CHEMBL487450,5.5,nM,NC(=O)c1cnc(Nc2ccc(N3CCOCC3)cc2)nc1NCc1cc(F)cc(F)c1,8.259637310505756
CHEMBL596421,5.6,nM,OCCN1CCN(c2ccc(Nc3ncc4ncn(Cc5cc(F)cc(F)c5)c4n3)cc2)CC1,8.2518119729938
CHEMBL470949,6.2,nM,CN1CCN(c2ccc(Nc3ncc(C(N)=O)c(NCc4ccccc4)n3)cc2)CC1,8.207608310501746
CHEMBL471114,6.5,nM,NC(=O)c1cnc(Nc2ccc(N3CCOCC3)cc2)nc1NCc1ccccc1,8.187086643357144
CHEMBL471113,7.0,nM,NC(=O)c1cnc(Nc2ccc(N3CCNCC3)cc2)nc1NCc1ccccc1,8.154901959985743
CHEMBL471131,7.9,nM,NC(=O)c1cnc(Nc2ccc(N3CCOCC3)cc2)nc1NCc1ccccc1Cl,8.102372908709558
CHEMBL469910,8.2,nM,COc1ccccc1CNc1nc(Nc2ccc(N3CCOCC3)cc2)ncc1C(N)=O,8.086186147616283
CHEMBL512533,11.0,nM,Cc1ccccc1CNc1nc(Nc2ccc(N3CCOCC3)cc2)ncc1C(N)=O,7.958607314841775
CHEMBL594344,12.0,nM,Fc1cc(F)cc(Cn2ccc3cnc(Nc4ccc(N5CCNCC5)cc4)nc32)c1,7.920818753952375
CHEMBL517122,16.0,nM,NC(=O)c1cnc(Nc2ccc(N3CCC(O)CC3)cc2)nc1NCc1ccccc1,7.795880017344075
CHEMBL513401,17.0,nM,CN1CCC(c2ccc(Nc3ncc(C(N)=O)c(NCc4ccccc4)n3)cc2)CC1,7.769551078621726
CHEMBL487460,19.0,nM,NC(=O)c1cnc(Nc2ccc(N3CCOCC3)cc2)nc1NCc1cccc(O)c1,7.721246399047171
CHEMBL5280678,20.0,nM,C/C1=C\CC[C@H](C)[C@@H](C)OC(=O)Cc2c(Cl)c(O)cc(O)c2C1=O,7.698970004336019
CHEMBL228192,21.0,nM,NC(=O)c1cnc(NCCc2ccc(O)c(Cl)c2)nc1NCc1ccccc1,7.6777807052660805
CHEMBL471130,22.0,nM,NC(=O)c1cnc(Nc2ccc(N3CCOCC3)cc2)nc1NCc1ccccc1O,7.657577319177793
CHEMBL486643,23.0,nM,CSc1ccccc1CNc1nc(Nc2ccc(N3CCOCC3)cc2)ncc1C(N)=O,7.638272163982407
CHEMBL471743,25.0,nM,COc1cccc(CNc2nc(Nc3ccc(N4CCOCC4)cc3)ncc2C(N)=O)c1,7.6020599913279625
CHEMBL512519,25.0,nM,NC(=O)c1cnc(Nc2ccc(N3CCOCC3)cc2)nc1NCc1ccccc1C(F)(F)F,7.6020599913279625
CHEMBL595488,26.0,nM,O=C(O)CN1CCN(c2ccc(Nc3ncc4ccn(Cc5cc(F)cc(F)c5)c4n3)cc2)CC1,7.585026652029182
CHEMBL3741938,28.0,nM,C/C(=C\C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N(c1ccccc1)c1ccc(I)cc1)C(C)(C)C)c1ccc(OP(=O)(O)O)cc1,7.552841968657781
CHEMBL226930,30.0,nM,CNC(=O)c1cnc(NCCc2ccc(O)c(Cl)c2)nc1NCc1ccccc1,7.522878745280337
CHEMBL594821,34.0,nM,NCCN1CCN(c2ccc(Nc3ncc4ccn(Cc5cc(F)cc(F)c5)c4n3)cc2)CC1,7.468521082957745
CHEMBL471559,36.0,nM,NC(=O)c1cnc(Nc2ccc(N3CCOCC3)cc2)nc1NCc1cccc(Cl)c1,7.443697499232712
CHEMBL603203,37.0,nM,Fc1cccc(Cn2ccc3cnc(Nc4ccc(N5CCOCC5)cc4)nc32)c1,7.431798275933005
CHEMBL520234,38.0,nM,NC(=O)c1cnc(Nc2ccc(N3CCOCC3)cc2)nc1NCc1ccccc1[N+](=O)[O-],7.42021640338319
CHEMBL3741162,44.0,nM,CC(C)(C)[C@H](NC(=O)/C=C/c1ccc(OP(=O)(O)O)cc1)C(=O)N1CCC[C@H]1C(=O)N(c1ccccc1)c1ccc(I)cc1,7.356547323513812
CHEMBL228018,45.0,nM,Cc1cccc(Nc2nc(NCCc3ccc(O)c(Cl)c3)ncc2C(N)=O)c1,7.346787486224656
CHEMBL5267203,56.0,nM,C/C1=C\C[C@@H](O)[C@H](C)[C@@H](C)OC(=O)Cc2c(Cl)c(O)cc(O)c2C1=O,7.251811972993799
CHEMBL518350,61.0,nM,NC(=O)c1cnc(NCCc2cc(Cl)c(O)c(Cl)c2)nc1NCc1ccccc1,7.214670164989233
CHEMBL387668,64.0,nM,Cc1cccc(Nc2nc(NCCc3ccc(O)c(F)c3)ncc2C(N)=O)c1,7.1938200260161125
CHEMBL3400936,68.0,nM,C/C1=C\CCC(C)(O)C(C)OC(=O)Cc2c(Cl)c(O)cc(O)c2C1=O,7.167491087293763
CHEMBL5271361,79.0,nM,C/C1=C\CCC(C)(C)C(C)OC(=O)Cc2c(Cl)c(O)cc(O)c2C1=O,7.102372908709558
CHEMBL461721,81.0,nM,NC(=O)c1cnc(Nc2ccc(CCCO)cc2)nc1NCc1ccccc1,7.0915149811213505
CHEMBL389647,83.0,nM,Cc1cccc(Nc2nc(NCCc3ccc(O)c(Br)c3)ncc2C(N)=O)c1,7.080921907623926
CHEMBL374380,88.0,nM,NC(=O)c1cnc(NCCc2ccc(O)cc2)nc1NCc1ccccc1,7.055517327849831
CHEMBL488307,88.0,nM,Cl.NC(=O)c1cnc(Nc2ccc(N3CCOCC3)cc2)nc1NCc1c(F)cc(F)cc1F,7.055517327849831
CHEMBL3741886,89.0,nM,C/C(=C\C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N(c1ccccc1)c1ccccc1)C(C)(C)C)c1ccc(OP(=O)(O)O)cc1,7.050609993355087
CHEMBL461720,95.0,nM,NC(=O)c1cnc(Nc2ccc(CCO)cc2)nc1NCc1ccccc1,7.022276394711152
CHEMBL458325,98.0,nM,NC(=O)c1cnc(Nc2ccc(N3CCC(O)C3)cc2)nc1NCc1ccccc1,7.008773924307505
CHEMBL427436,100.0,nM,NC(=O)c1cnc(NCCc2ccc(O)cc2)nc1NC1CCCCC1,7.0
CHEMBL3740709,120.0,nM,CC(C)(C)[C@H](NC(=O)/C=C/c1ccc(OP(=O)(O)O)cc1)C(=O)N1CCC[C@H]1C(=O)N(c1ccccc1)c1ccccc1,6.920818753952375
CHEMBL596223,120.0,nM,Fc1cc(F)cc(Cn2ccc3cnc(Nc4ccc(N5CCOCC5)cc4)nc32)c1,6.920818753952375
CHEMBL461304,120.0,nM,NC(=O)c1cnc(Nc2ccc(N3CCCCC3)cc2)nc1NCc1ccccc1,6.920818753952375
CHEMBL3739524,120.0,nM,C/C(=C\C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N(C)c1ccccc1)C(C)(C)C)c1ccc(OP(=O)(O)O)cc1,6.920818753952375
CHEMBL3741674,120.0,nM,C/C(=C\C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N(C)c1ccccc1)C(C)(C)C)c1ccc(OP(=O)(O)O)cc1,6.920818753952375
CHEMBL226770,130.0,nM,Cc1cccc(Nc2nc(NCCc3ccc(O)c(C)c3)ncc2C(N)=O)c1,6.886056647693163
CHEMBL471560,130.0,nM,NC(=O)c1cnc(Nc2ccc(N3CCOCC3)cc2)nc1NCc1cccc(C(F)(F)F)c1,6.886056647693163
CHEMBL3742125,140.0,nM,CC(C)(C)[C@H](NC(=O)c1cc2cc(OP(=O)(O)O)ccc2[nH]1)C(=O)N1CCC[C@H]1C(=O)N(c1ccccc1)c1ccc(I)cc1,6.853871964321762
CHEMBL227748,170.0,nM,CNC(=O)c1cnc(NCCc2ccc(O)cc2)nc1Nc1cccc(C)c1,6.769551078621726
CHEMBL376085,190.0,nM,Cc1cccc(Nc2nc(NCCc3ccc(O)cc3)ncc2C(N)=O)c1,6.721246399047171
CHEMBL596410,220.0,nM,Fc1ccccc1Cn1ccc2cnc(Nc3ccc(N4CCOCC4)cc3)nc21,6.657577319177793
CHEMBL3741189,230.0,nM,C/C(=C\C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N(C)C1CCCCC1)C(C)(C)C)c1ccc(OP(=O)(O)O)cc1,6.638272163982407
CHEMBL3739968,250.0,nM,C/C(=C\C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)NCCc1ccccc1)C(C)(C)C)c1ccc(OP(=O)(O)O)cc1,6.6020599913279625
CHEMBL3740710,270.0,nM,C/C(=C\C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1ccccc1)C(C)(C)C)c1ccc(OP(=O)(O)O)cc1,6.568636235841012
CHEMBL3741243,270.0,nM,C/C(=C\C(=O)N[C@H](C(=O)N(C)CC(=O)N(C)c1ccccc1)C(C)(C)C)c1ccc(OP(=O)(O)O)cc1,6.568636235841012
CHEMBL488649,310.0,nM,NC(=O)c1cnc(Nc2ccc(N3CCOCC3)cc2)nc1NCc1ccc(F)cc1F,6.508638306165727
CHEMBL487634,310.0,nM,NC(=O)c1cnc(Nc2ccc(N3CCOCC3)cc2)nc1NCc1ccccc1N,6.508638306165727
CHEMBL3739875,340.0,nM,C/C(=C\C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)NCc1ccccc1)C(C)(C)C)c1ccc(OP(=O)(O)O)cc1,6.468521082957745
CHEMBL3739525,380.0,nM,CCN(CC)C(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)/C=C(\C)c1ccc(OP(=O)(O)O)cc1)C(C)(C)C,6.42021640338319
CHEMBL389452,380.0,nM,CCNC(=O)c1cnc(NCCc2ccc(O)cc2)nc1Nc1cccc(C)c1,6.42021640338319
CHEMBL593392,400.0,nM,c1ccc(Cn2ccc3cnc(Nc4ccc(N5CCOCC5)cc4)nc32)cc1,6.3979400086720375
CHEMBL227804,410.0,nM,NC(=O)c1cnc(NCCc2ccc(O)cc2)nc1Nc1ccccc1,6.3872161432802645
CHEMBL3742269,410.0,nM,C/C(=C\C(=O)N[C@H](C(=O)N1CCCC1CN(C)c1ccccc1)C(C)(C)C)c1ccc(OP(=O)(O)O)cc1,6.3872161432802645
CHEMBL3740699,480.0,nM,C/C(=C\C(=O)N[C@H](C(=O)N(C)[C@@H](C)C(=O)N(C)c1ccccc1)C(C)(C)C)c1ccc(OP(=O)(O)O)cc1,6.318758762624412
CHEMBL3740610,540.0,nM,C/C(=C\C(=O)N[C@H](C(=O)N1CCCC1/C=C/CCc1ccccc1)C(C)(C)C)c1ccc(OP(=O)(O)O)cc1,6.267606240177031
CHEMBL470964,650.0,nM,NC(=O)c1cnc(Nc2ccc(N3CCOCC3)cc2)nc1NCc1ccc(F)cc1,6.187086643357144
