molecule_chembl_id,smiles,pIC50,ROMol,tanimoto_maccs,tanimoto_morgan,dice_maccs,dice_morgan
CHEMBL607852,Cn1nc(C(N)=O)c2c1-c1nc(NCc3ccccn3)ncc1CC2,5.333201316333826,<rdkit.Chem.rdchem.Mol object at 0x7f7b23b85b80>,0.40298507462686567,0.22556390977443608,0.574468085106383,0.36809815950920244
CHEMBL4875743,CCc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)nc3cccc(F)c23)n[nH]1,7.096910013008056,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb58c40>,0.43333333333333335,0.22535211267605634,0.6046511627906976,0.367816091954023
CHEMBL1173824,OC1CCN(c2ncnc3oc(-c4ccccc4)c(-c4ccccc4)c23)CC1,6.09312646527793,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb6dd60>,0.4393939393939394,0.22535211267605634,0.6105263157894737,0.367816091954023
CHEMBL3685242,CN(C)c1cccc(C(=O)Nc2cccc(CNc3ncnc4c3=CCCC=4C(N)=O)c2)c1,9.657577319177792,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bba0a60>,0.35714285714285715,0.2251655629139073,0.5263157894736842,0.3675675675675676
CHEMBL3685293,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(N5CCCCC5)nc4)c3)ncnc12,9.397940008672036,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bba9ee0>,0.36363636363636365,0.225,0.5333333333333333,0.3673469387755102
CHEMBL3675533,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4cncc(N5CCOCC5)c4)c3)ncnc12,8.356547323513812,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb4cb80>,0.3472222222222222,0.225,0.5154639175257731,0.3673469387755102
CHEMBL3680518,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(CN5CCCC5)cc4)c3)ncnc12,8.130768280269024,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb54220>,0.3382352941176471,0.225,0.5054945054945055,0.3673469387755102
CHEMBL3680529,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(N5CCOCC5)nc4)c3)ncnc12,9.318758762624412,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bbad460>,0.352112676056338,0.225,0.5208333333333334,0.3673469387755102
CHEMBL4645713,CCOC(=O)c1cnc2ccc(C)cc2c1Nc1cccc(NS(C)(=O)=O)c1,6.008773924307505,<rdkit.Chem.rdchem.Mol object at 0x7f7b23b80940>,0.3466666666666667,0.2246376811594203,0.5148514851485149,0.3668639053254438
CHEMBL474651,Cc1cc(Nc2nn(CC(=O)c3ccccc3)c(=O)c3ccccc23)n[nH]1,7.1487416512809245,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb58580>,0.43478260869565216,0.2246376811594203,0.6060606060606061,0.3668639053254438
CHEMBL3675369,NC(=O)c1cccc2c(NCc3ccc(NS(=O)(=O)c4ccccc4)cc3)ncnc12,5.376750709602099,<rdkit.Chem.rdchem.Mol object at 0x7f7b23b855e0>,0.33783783783783783,0.22448979591836735,0.5050505050505051,0.36666666666666664
CHEMBL2391119,COc1ccc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCO5)o3)cc2)cc1,4.3979400086720375,<rdkit.Chem.rdchem.Mol object at 0x7f7b23b89ca0>,0.4090909090909091,0.22448979591836735,0.5806451612903226,0.36666666666666664
CHEMBL2063463,Nc1ncnn2ccc(C(=O)Nc3cccc(CNC(=O)Nc4cccc(Cl)c4)c3)c12,6.730487055782083,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb63940>,0.42424242424242425,0.22448979591836735,0.5957446808510638,0.36666666666666664
CHEMBL2063462,Nc1ncnn2ccc(C(=O)Nc3cccc(CNC(=O)Nc4cccc(F)c4)c3)c12,7.173925197299173,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb58100>,0.42424242424242425,0.22448979591836735,0.5957446808510638,0.36666666666666664
CHEMBL2063446,Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4cccc(F)c4)c3)c12,5.497572880015568,<rdkit.Chem.rdchem.Mol object at 0x7f7b23b847c0>,0.40298507462686567,0.22448979591836735,0.574468085106383,0.36666666666666664
CHEMBL3675421,CN(C)CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(Cl)c1,6.42021640338319,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb68100>,0.45161290322580644,0.22388059701492538,0.6222222222222222,0.36585365853658536
CHEMBL505037,O=C(Nc1ccc(Cl)c(Cl)c1)Nc1ncc(CCNc2ncnc3ccsc23)s1,7.017728766960431,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb5dac0>,0.453125,0.22377622377622378,0.6236559139784946,0.3657142857142857
CHEMBL520053,O=C(Nc1ccc(F)c(Cl)c1)Nc1ncc(CCNc2ncnc3ccsc23)s1,7.958607314841775,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb5c460>,0.46875,0.22377622377622378,0.6382978723404256,0.3657142857142857
CHEMBL1277473,CC1=C(C(=O)Nc2ccc(F)cc2)C(c2ccco2)n2c(nc3ccccc32)N1,5.211124884224583,<rdkit.Chem.rdchem.Mol object at 0x7f7b23b86b80>,0.5666666666666667,0.22377622377622378,0.723404255319149,0.3657142857142857
CHEMBL3237183,COc1ccccc1Nc1nc(Nc2cc(C)[nH]n2)cc(N2CCN(C)CC2)n1,6.698970004336019,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb63ee0>,0.4507042253521127,0.22377622377622378,0.6213592233009708,0.3657142857142857
CHEMBL3393460,O=C1CNCC2=C1C(c1cccc(Oc3ccc(Cl)c(Cl)c3)c1)c1c[nH]nc1N2,6.221848749616356,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb734c0>,0.4383561643835616,0.22377622377622378,0.6095238095238096,0.3657142857142857
CHEMBL1277474,CC1=C(C(=O)Nc2ccc(Cl)cc2)C(c2ccccc2)C2=C(CC(C)(C)CC2=O)N1,4.394264106123253,<rdkit.Chem.rdchem.Mol object at 0x7f7b23b89d60>,0.47692307692307695,0.22377622377622378,0.6458333333333334,0.3657142857142857
CHEMBL3792563,COC(=O)c1cccc(NC(=O)c2cc(-n3cc(CNc4ccccc4)nn3)ccc2O)c1,5.288192770958808,<rdkit.Chem.rdchem.Mol object at 0x7f7b23b86220>,0.463768115942029,0.2236842105263158,0.6336633663366337,0.3655913978494624
CHEMBL3670403,NCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(Cl)c1,5.309803919971486,<rdkit.Chem.rdchem.Mol object at 0x7f7b23b85e80>,0.48214285714285715,0.2230769230769231,0.6506024096385542,0.36477987421383645
CHEMBL522891,O=C(Nc1c[nH]nc1-c1nc2ccccc2[nH]1)c1ccccc1,8.229147988357855,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb50880>,0.45454545454545453,0.2230769230769231,0.625,0.36477987421383645
CHEMBL3670488,COc1cc(C(N)=O)c2ncnc(N[C@H](C)c3ccccc3)c2c1,7.481486060122112,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb3eca0>,0.5882352941176471,0.2230769230769231,0.7407407407407407,0.36477987421383645
CHEMBL3675326,NCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(F)c1,6.552841968657781,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb6b3a0>,0.48214285714285715,0.2230769230769231,0.6506024096385542,0.36477987421383645
CHEMBL3670481,NC(=O)c1cccc2c(N[C@H](Cn3ccnn3)c3ccccc3)ncnc12,5.376750709602099,<rdkit.Chem.rdchem.Mol object at 0x7f7b23b85520>,0.359375,0.22302158273381295,0.5287356321839081,0.36470588235294116
CHEMBL2006765,CCCNC(=O)c1ccc(Nc2nc(NCC(F)(F)F)c3cc[nH]c3n2)cc1,6.326058001365912,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb68ee0>,0.5,0.22302158273381295,0.6666666666666666,0.36470588235294116
CHEMBL2030971,O=C(Nc1ccc(Cl)cc1)c1cn(-c2ccccc2)nc1-c1ccccc1,5.447331783887806,<rdkit.Chem.rdchem.Mol object at 0x7f7b23b84e20>,0.5490196078431373,0.22302158273381295,0.7088607594936709,0.36470588235294116
CHEMBL1801108,CN(C)S(=O)(=O)c1ccc(Nc2nccn3c(-c4cnn(C)c4)cnc23)cc1,5.431798275933005,<rdkit.Chem.rdchem.Mol object at 0x7f7b23b850a0>,0.32894736842105265,0.22302158273381295,0.49504950495049505,0.36470588235294116
CHEMBL3675372,NC(=O)c1cccc2c(NCc3ccc(NC(=O)Nc4ccccc4)cc3)ncnc12,6.3872161432802645,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb685e0>,0.42857142857142855,0.22297297297297297,0.6,0.36464088397790057
CHEMBL3717691,CC(C)(Nc1cccc(S(N)(=O)=O)c1)C(=O)Nc1nc2c(C(F)(F)F)cc3[nH]ncc3c2s1,7.853871964321762,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb44220>,0.35,0.22297297297297297,0.5185185185185185,0.36464088397790057
CHEMBL3670459,NCC1(c2ccc(OC(F)(F)F)cc2)CCN(c2ncnc3c(C(N)=O)cccc23)CC1,5.259637310505756,<rdkit.Chem.rdchem.Mol object at 0x7f7b23b86460>,0.5223880597014925,0.22297297297297297,0.6862745098039216,0.36464088397790057
CHEMBL1173522,c1ccc(-c2oc3ncnc(NCCN4CCOCC4)c3c2-c2ccccc2)cc1,5.75300930075845,<rdkit.Chem.rdchem.Mol object at 0x7f7b23b82ca0>,0.4,0.22297297297297297,0.5714285714285714,0.36464088397790057
CHEMBL3934177,Cn1nc([C@]2(Cc3cccc(Nc4cc[nH]n4)n3)CC[C@@H](Oc3cccc(Cl)c3F)CC2)oc1=O,8.853871964321762,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb52040>,0.5405405405405406,0.2229299363057325,0.7017543859649122,0.3645833333333333
CHEMBL2398656,O=C(Nc1ccccc1)Nc1ccc(CCNc2ncnc3occ(-c4ccccc4)c23)cc1,6.465973893943865,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb656a0>,0.4098360655737705,0.2229299363057325,0.5813953488372093,0.3645833333333333
CHEMBL2203772,Cc1cc(CN2CCN(c3c(Cl)cnc4[nH]c(-c5cccc(OCCN(C)C)c5)nc34)CC2)no1,6.886056647693163,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb5e040>,0.4358974358974359,0.2229299363057325,0.6071428571428571,0.3645833333333333
CHEMBL3959351,Cc1ccc2c(c1)C(=O)N(C)c1cnc(Nc3cccc(S(=O)(=O)N4CCC(O)CC4)c3)nc1N2C,6.823908740944319,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb5eb80>,0.36666666666666664,0.2229299363057325,0.5365853658536586,0.3645833333333333
CHEMBL3675420,CN(C)CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2cncc(N3CCCC3)c2)c1,9.075720713938118,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb4dc40>,0.352112676056338,0.22289156626506024,0.5208333333333334,0.3645320197044335
CHEMBL3680443,NC(=O)c1cccc2c(NC(CCN3CCCC3)c3cccc(NC(=O)c4ccc(F)c(F)c4)c3)ncnc12,9.214670164989233,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bbade20>,0.4264705882352941,0.22289156626506024,0.5979381443298969,0.3645320197044335
CHEMBL2029914,CN1CCN(C(=O)c2cc(Nc3ncc4cc(-c5cnn(Cc6ccccc6)c5)n(C5CCCC5)c4n3)cn2C)CC1,8.698970004336019,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb52ac0>,0.4142857142857143,0.22285714285714286,0.5858585858585859,0.3644859813084112
CHEMBL3675380,C[C@@H](Nc1ncnc2c(C(N)=O)cccc12)c1ccccc1,8.698970004336019,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb52be0>,0.5,0.2222222222222222,0.6666666666666666,0.36363636363636365
CHEMBL3685273,CN1CCN(c2ccc(C(=O)Nc3cccc(CNc4ncnc5c(C(N)=O)cccc45)c3)cc2)CC1,7.920818753952375,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb5ca60>,0.35714285714285715,0.2222222222222222,0.5263157894736842,0.36363636363636365
CHEMBL246165,FC(F)(F)c1c[nH]c(-c2n[nH]cc2/C=C/c2cccnc2)n1,6.920818753952375,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb5bca0>,0.4423076923076923,0.2222222222222222,0.6133333333333333,0.36363636363636365
CHEMBL1085132,Cc1cc(CN2CCN(c3c(Br)cnc4[nH]c(-c5ccc(OCCO)cc5)nc34)CC2)no1,7.522878745280337,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb3e280>,0.4230769230769231,0.2222222222222222,0.5945945945945946,0.36363636363636365
CHEMBL3675357,NC(=O)c1cccc2c(NCc3ccccc3F)ncnc12,6.0,<rdkit.Chem.rdchem.Mol object at 0x7f7b23b80ac0>,0.5576923076923077,0.2222222222222222,0.7160493827160493,0.36363636363636365
CHEMBL2030974,CCOc1ccc(NC(=O)c2cn(-c3ccccc3)nc2-c2ccccc2)cc1,6.376750709602099,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb68640>,0.5535714285714286,0.2222222222222222,0.7126436781609196,0.36363636363636365
CHEMBL3675423,CNCC(Nc1ncnc2c(C(N)=O)ccc(OC)c12)c1ccccc1,6.173925197299173,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb73fa0>,0.4918032786885246,0.2222222222222222,0.6593406593406593,0.36363636363636365
CHEMBL3680584,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc(N5CCCCC5=O)cc4)c3)ncnc12,8.823908740944319,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb52280>,0.40298507462686567,0.2222222222222222,0.574468085106383,0.36363636363636365
CHEMBL3675342,C[C@H](Nc1ncnc2c(C(N)=O)cccc12)c1ccccc1,6.3872161432802645,<rdkit.Chem.rdchem.Mol object at 0x7f7b2bb68580>,0.5,0.2222222222222222,0.6666666666666666,0.36363636363636365
