smiles,MACCS similarity,pIC50,smiles,Morgan similarity,pIC50
Fc1cc(CCNc2ncnc3ccsc23)ccc1Nc1nc2cc(C(F)(F)F)ccc2[nH]1,0.4666666666666667,7.1938200260161125,Fc1cc(CCNc2ncnc3ccsc23)ccc1Nc1nc2cc(C(F)(F)F)ccc2[nH]1,0.3381294964028777,7.1938200260161125
O=C(Nc1ccccc1)c1cccc(Nc2nccc(Nc3cccc(C(F)(F)F)c3)n2)c1,0.6444444444444445,5.070581074285707,O=C(Nc1ccccc1)c1cccc(Nc2nccc(Nc3cccc(C(F)(F)F)c3)n2)c1,0.3381294964028777,5.070581074285707
CC(CC(N)=O)c1cccc(Nc2nccc(Nc3cccc(C(F)(F)F)c3)n2)c1,0.5882352941176471,4.665546248849069,CC(CC(N)=O)c1cccc(Nc2nccc(Nc3cccc(C(F)(F)F)c3)n2)c1,0.33587786259541985,4.665546248849069
NC(=O)c1cc(NCc2ccccc2)cc2c(NCc3ccc(Cl)c(C(F)(F)F)c3)ncnc12,0.6037735849056604,5.920818753952375,NC(=O)c1cc(NCc2ccccc2)cc2c(NCc3ccc(Cl)c(C(F)(F)F)c3)ncnc12,0.3357142857142857,5.920818753952375
C[C@@H](Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(C(F)(F)F)cc2F)c1,0.64,9.602059991327964,C[C@@H](Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(C(F)(F)F)cc2F)c1,0.3356643356643357,9.602059991327964
C[C@@H](Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2cc(C(F)(F)F)ccc2F)c1,0.64,9.958607314841776,C[C@@H](Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2cc(C(F)(F)F)ccc2F)c1,0.3356643356643357,9.958607314841776
FC(F)(F)c1ccccc1Nc1ccnc(Nc2ccccc2)n1,0.6136363636363636,5.751291264399082,FC(F)(F)c1ccccc1Nc1ccnc(Nc2ccccc2)n1,0.3333333333333333,5.751291264399082
COc1ccc2c(c1)CNc1c(Nc3cnc(NC(=O)c4ccccc4)nc3)ncnc1O2,0.559322033898305,6.013228265733755,COc1ccc2c(c1)CNc1c(Nc3cnc(NC(=O)c4ccccc4)nc3)ncnc1O2,0.3333333333333333,6.013228265733755
O=C(Nc1cccc(Nc2ccnc(Nc3cccc(C(F)(F)F)c3)n2)c1)C1CC1,0.5918367346938775,6.031050319018657,O=C(Nc1cccc(Nc2ccnc(Nc3cccc(C(F)(F)F)c3)n2)c1)C1CC1,0.3333333333333333,6.031050319018657
COc1ccc2c(c1)Oc1ncnc(Nc3cnc(NC(=O)c4ccccc4)nc3)c1NC2,0.55,6.221848749616356,COc1ccc2c(c1)Oc1ncnc(Nc3cnc(NC(=O)c4ccccc4)nc3)c1NC2,0.3333333333333333,6.221848749616356
