chembl_id,smiles,IC50[nM]
CHEMBL1088348,O=C(Nc1ccc(C)cc1)C1=C(C)NC(=[NH+]Cc2ccccc2)NC1c1c(O)cc(O)cc1,23500.01
CHEMBL3671572,Brc1cc(F)c(Nc2ncnc3c2cc(NC(=O)C=C)c(OCCNC(=O)CN2CCOCC2)c3)cc1,32.0
CHEMBL2312304,Clc1c(CNc2nc(NC3CCCC3)c(C(=O)NCCCN3C(=O)OCC3)cn2)cc(Cl)cc1,4090.0
CHEMBL78184,Fc1ccc(/C=C(/C(=O)[O-])\C#N)cc1,833000.0
CHEMBL283682,Brc1cc(Nc2c(C#N)cnc3c2cc(NC(=O)C#CC)cc3)ccc1,258.9
CHEMBL3628907,Brc1cc(NC(=O)Nc2c(Cl)cc(Oc3ncnc4sc5c(c34)CCCC5)cc2)ccc1,1260.0
CHEMBL4087646,ClCCN(P(=O)(OCCCCOc1cc2c(Nc3cc(Cl)c(F)cc3)ncnc2cc1)N)CCCl,6.0
CHEMBL110036,O(C)c1c(OC)cc2ncc(C#N)c(Nc3cc(N)ccc3)c2c1,812.83
CHEMBL4091166,Clc1cc(Nc2c3c([nH+]cc2)ccc(NC(=O)C2CCC4(OOC5(C6CC7CC5CC(C6)C7)CO4)CC2)c3)ccc1,169.4
CHEMBL415738,OCCNc1ncnc(Nc2cc(C)ccc2)c1,1.0
CHEMBL1641989,Brc1cc(Nc2ncc(C#N)c3c2cc(NC(=O)CCC[NH+](C)C)cc3)ccc1,4100.0
CHEMBL450396,Clc1c(OCc2cc(F)ccc2)ccc(Nc2ncnc3c2sc(C#C[C@@H]2NC[C@H](OC(=O)N4CCOCC4)C2)c3)c1,50.0
CHEMBL4104717,Fc1c(N2C(=O)N([C@@H]3CN(C(=O)CC)CC3)c3nc(Nc4cc(C)c(N5CCC6(CC[NH+](C)CC6)CC5)cc4)ncc3C2)cc(OC)cc1,224.5
CHEMBL117697,O(C)c1cc(Nc2ncnc3c2cccc3)ccc1,842.0
CHEMBL168921,O(C(C)(C)C)C(=O)N1CC(n2c3ncnc(N)c3c(-c3cc(O)ccc3)c2)CC1,2200.0
CHEMBL2029436,O=C(Nc1cc(N2C(=O)N(c3ccccc3)Cc3c2nc(Nc2c(OC)cc(N4CC[NH+](C)CC4)cc2)nc3)ccc1)C=C,0.3
