id,smiles,QED,Lipinski,CNS
52,C.CC(C)n1nc(-c2ccc(O)c(F)c2)c2c(N)ncnc21.Cl,0.744659278928323,True,False
53,C.Cc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1.Cl,0.7242665089712064,True,False
54,C.CC(C)n1nc(-c2cccc(O)c2F)c2c(N)ncnc21.Cl,0.744659278928323,True,False
55,C.COc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1OC.Cl,0.7141205387291367,True,False
56,C.Cl.Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2[C@@H]1CCNC1,0.643741050226082,True,False
57,C.C[C@H](CN)n1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21.Cl,0.6650550738853653,True,False
58,C.CCOc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1OC.Cl,0.6638283699782378,True,False
59,C.C[C@@H](CN)n1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21.Cl,0.6650550738853653,True,False
60,C.CC(C)n1nc(-c2ccc3occc3c2)c2c(N)ncnc21.Cl,0.5795125162590812,True,False
61,C.Cl.Cn1nc(-c2ccc(Br)c(O)c2)c2c(N)ncnc21,0.6846724608531298,True,False
62,C.CC(C)n1nc(-c2ccc(F)c(C#N)c2)c2c(N)ncnc21.Cl,0.7611774565928356,True,False
63,C.COc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1.Cl,0.7886476356079632,True,False
64,C.Cl.Nc1ncnc2c1c(-c1ccc3ncccc3c1)nn2C1CCCC1,0.538157825293774,True,False
65,C.CC(C)n1nc(-c2cccc(S(N)(=O)=O)c2)c2c(N)ncnc21.Cl,0.7123074624964677,True,False
66,C.CC(C)n1nc(-c2cccc(CC#N)c2)c2c(N)ncnc21.Cl,0.7798362284233868,True,False
67,C.CC(C)n1nc(-c2ccc3nc(N)ccc3c2)c2c(N)ncnc21.Cl,0.5536267155312146,True,False
68,C.COc1cccc(-c2nn(C(C)C)c3ncnc(N)c23)c1OC.Cl,0.7573447645603694,True,False
69,C.CC(C)n1nc(-c2cnc3ccccc3c2)c2c(N)ncnc21.Cl,0.5797558465863137,True,False
70,C.CC(C)n1nc(-c2ccc(NS(C)(=O)=O)cc2)c2c(N)ncnc21.Cl,0.6970717764509313,True,False
71,C.CC(C)n1nc(-c2ccc3c(N)n[nH]c3c2)c2c(N)ncnc21.Cl,0.5038803894765118,True,False
72,C.CC(C)n1nc(-c2cccc3[nH]ccc23)c2c(N)ncnc21.Cl,0.5704070902345566,True,False
73,C.COc1ccc(-c2nn(C3CCC3)c3ncnc(N)c23)cc1OC.Cl,0.7418661771494242,True,False
74,C.CC(C)n1nc(-c2ccc3nccc(N)c3c2)c2c(N)ncnc21.Cl,0.5536267155312146,True,False
75,C.CC(C)n1nc(-c2cc(F)c(O)cc2F)c2c(N)ncnc21.Cl,0.7294746156764312,True,False
